0000020020244;MANA ATACAREJO DE ROUPAS LTDA;27/06/2026;TESTE DE PRIMEIRO PEDIDO;;;;;;
2000000356570;035616;APT3819;CAMISA POLO C/BORDADO APPLICATO CONFECÇOES;;3;3;99,99;900004656;APPLICATO CONFECCOES LTDA
2000000356587;035617;BAS003;CAMISA BASICA APPLICATO CONFECÇOES;;10;10;49,99;900004656;APPLICATO CONFECCOES LTDA
2180380000000;018038;14MIX2SSORTID;CAMISA MASC GOLA POLO - G-91;RUA L SETOR 1 2 E 3;44;44;59,99;001241;GANTS INDU. E COM. DE ROUPAS LTDA
