7898121658834;021151;9029;BACIA REDONDA 40 L 9029 - RISCHIOTO;RUA NB SETOR 2;12;6;48,99;900004464;RISCHIOTO INDUSTRIA E COMERCIO DE PLASTICOS LTDA
7898378697204;036291;;BACIA 18 L RECICLADA 0173 - PLASMONT;RUA V SETOR 4;6;0;19,99;001240;TOYPLAST PLASTICOS LTDA
7898577794889;7898577794889;586;CESTO 2 L C/ TAMPA MARROM 586 - USUAL;RUA Y SETOR 4;6;34;12,99;001275;USUAL PLASTIC - UTILIDADE DOMESTICA E COMERCIO LTD
7898587810036;023323;4;KIT PIA PL STICO - PLASTICOS RODRIGUES;RUA V SETOR 6 A10;6;38;7,99;900004444;PLASTICOS RODRIGUES & CIA LTDA
7898587812276;024444;000000020;LIXEIRA PEDAL S/ DECORACAO;RUA U SETOR 2 AO 5;24;1171;12,99;900004444;PLASTICOS RODRIGUES & CIA LTDA
7898635513599;024528;419;VASO GREGO REDONDO MARMORIZADO 2,2L 419 - ARIPLAS;;24;159;7,99;900004445;3UD IND. E COM. DE ARTEF DE MAT. PLAST. LTDA
7898723800556;035529;308;ORGANIZADOR 2L FJ BLACK 308 -  LIDERMIX;;8;0;18,99;900004480;LIDER MIX UD COMERCIAL EIRELI - ME
7898723800570;035531;310;ORGANIZADOR 2L FR BLACK 310 -  LIDERMIX;;12;16;18,99;900004480;LIDER MIX UD COMERCIAL EIRELI - ME
7898750052379;038692;;PRENDEDOR ROUPA 12UN 5237 - MB;RUA V SETOR 7;10;0;7,99;001549;PLASTICOS MB LTDA
7898927843229;036293;;MEGA LIMPA AZULEJO - M & M;;12;0;19,99;;
7898967852366;036477;;TRAVESSEIRO BOM SONHAR;;20;0;29,99;900004600;O ARTESAO COMERCIAL LTDA - ME
7899670819011;032358;UD210111;BATEDOR FUE SILICONE CABO INOX UNY GIFT;RUA V SETOR 10;12;138;12,99;001830;UNY GIFT COMERCIO DE IMP. E EXP. LTDA
7899808830024;038727;017893;RODINHO 17893 - PLASUTIL;;14;9;5,99;900000004;PLASUTIL INDUSTRIA E COMERCIO DE PLASTICOS LTDA
7899808878736;031334;013711;FESTIVAL DE TALHERES 13711 - PLASUTIL;;10;211;5,99;900000004;PLASUTIL INDUSTRIA E COMERCIO DE PLASTICOS LTDA
7908148515819;036642;1581;COPO C/ TAMPA 200ML 1581 - FWB;;20;72;17,99;001691;FWB IMP E EXP DE ARTIGOS PARA PRESENTES LTDA
7908439800785;030976;BF10CS;BALDE 10 LITROS COLETA SELETIVA - ARQPLAST;RUA V SETOR 4;12;12;8,99;001240;TOYPLAST PLASTICOS LTDA
7908486123042;038721;16144;BOMBONIERE BERLIM 16144 - EM CASA TEM;;6;0;31,99;900004645;INGA IMPORT LTDA SC
7908486141152;038703;18085;BOMBONIERE BOHEMIA 18085 - EM CASA TEM;;6;444;31,99;001922;INGA IMPORT LTDA
7908630230350;036532;88270;COPO ESPLENDOR 88270-1 - KE HOME;;6;24;14,99;001451;KEHOME COMERCIO DE ARTIGOS DE BAZAR LTDA
7908657903954;037849;1632;MARMITA PLASTICA 1632 - UNIKA;;12;12;19,99;001613;UNIKA COM. IMP .E EXP. DE UTILIDADES DOMESTICAS LT
7908657904241;038384;1670;MARMITA PLASTICA 700 ML 1670 - UNIKA;;12;270;17,99;001613;UNIKA COM. IMP .E EXP. DE UTILIDADES DOMESTICAS LT
7908838001400;038599;1172;MARMITA 1 L PALHA 1172 - USUAL;;12;126;14,99;001275;USUAL PLASTIC - UTILIDADE DOMESTICA E COMERCIO LTD
7908888911414;038216;FJ91043;PORTA RETRATO 10CM X 15CM FJ91043 - FWB;;20;40;11,99;001691;FWB IMP E EXP DE ARTIGOS PARA PRESENTES LTDA
7908888912022;038212;FJ91245;PORTA RETRATO 10CM X 15CM FJ91245 - FWB;;19;0;11,99;001691;FWB IMP E EXP DE ARTIGOS PARA PRESENTES LTDA
